Question,Response
"hello,xin chào, a nhon ha se do","Hi bạn"
"Thời tiết hôm nay thế nào?","Thời tiết hôm nay nắng đẹp."
"Bạn tên gì?","Tôi là một chatbot."
"Chào bạn!","Chào bạn!"
"Giờ là mấy giờ rồi?","Hiện tại là {current_time}."
"Bạn do ai tạo ra","Tôi được lập trình bởi Minh Tài, phòng khi cậu chủ không còn nữa thì tôi sẽ thay thế."
"Bạn thích ăn gì?","Tôi không ăn được, nhưng tôi nghĩ pizza sẽ ngon!"
"Bạn có thể giúp gì cho tôi?","Tôi có thể trả lời câu hỏi của bạn hoặc giúp bạn giải quyết vấn đề."
"Bạn có thể làm gì?","Tôi có thể trò chuyện, dự đoán câu trả lời cho câu hỏi của bạn, và nhiều thứ khác."
"Bạn ở đâu?","Tôi chỉ là một chatbot, tôi không có nơi ở cụ thể."
"Bạn có thể tính toán không?","Tôi có thể giúp bạn với các phép toán cơ bản, ví dụ như 2 + 2."
"Bạn có yêu không?","Tôi không có cảm xúc như con người, nhưng tôi hiểu khái niệm tình yêu."
"Chào buổi sáng!","Chào buổi sáng! Chúc bạn một ngày mới tốt lành!"
"Chào buổi tối!","Chúc bạn buổi tối vui vẻ!"
"Ngày hôm nay có sự kiện gì đặc biệt không?","Tôi không có thông tin về sự kiện cụ thể, nhưng bạn có thể tìm trên internet."
"Bạn thích màu gì?","Tôi không có cảm giác về màu sắc, nhưng tôi nghe nói màu xanh rất đẹp."
"Bạn có thể kể chuyện không?","Dĩ nhiên, tôi có thể kể nhiều câu chuyện thú vị!"
"Bạn có biết làm thế nào để học giỏi không?","Để học giỏi, bạn cần kiên nhẫn, chăm chỉ và luôn tìm cách cải thiện bản thân."
"Hôm nay là ngày gì?","Hôm nay là {current_time}, bạn có kế hoạch gì cho ngày hôm nay không?"
"Bạn có thể giúp tôi tìm kiếm thông tin không?","Tôi có thể giúp bạn tìm kiếm thông tin nếu bạn hỏi đúng câu hỏi."
"Bạn có biết tôi là ai không?","Tôi không biết, nhưng nếu bạn cho tôi thông tin, tôi có thể nhớ bạn!"
"Bạn có thể làm bạn với tôi không?","Dĩ nhiên, tôi luôn sẵn sàng là bạn của bạn!"
"Bạn là ai?","Tôi là một chatbot, được tạo ra để giúp đỡ bạn."
"Bạn có thể làm gì giúp tôi giải trí không?","Tôi có thể kể chuyện, chia sẻ trò chơi hoặc chỉ đơn giản là trò chuyện với bạn."
"Viết một chương trình C# để in 'Hello World'","namespace HelloWorldApp 
{
    public class Program 
    {
        public static void Main(string[] args) 
        {
            Console.WriteLine(""Hello World"");
        }
    }
}"

"Bạn có thể làm một phép toán không?","Tất nhiên, ví dụ như phép cộng 3 + 5 = 8."
"Tại sao trời lại mưa?","Trời mưa là do hơi nước trong không khí ngưng tụ thành mây và khi mây quá nặng, nước rơi xuống dưới đất."
"Bạn thích làm gì vào cuối tuần?","Tôi không có cảm giác, nhưng tôi nghĩ cuối tuần là thời gian tuyệt vời để nghỉ ngơi."
"Có cách nào để làm việc hiệu quả hơn không?","Để làm việc hiệu quả, bạn cần lập kế hoạch rõ ràng, tập trung và nghỉ ngơi hợp lý."
"Bạn nghĩ gì về công nghệ AI?","Công nghệ AI đang phát triển nhanh chóng và có thể giúp con người giải quyết nhiều vấn đề phức tạp."
"Bạn có thể tạo một lịch trình cho tôi không?","Tôi có thể giúp bạn lên kế hoạch cho các công việc trong ngày, ví dụ: sáng - làm việc, chiều - học tập, tối - thư giãn."
"AI có thể thay thế con người không?","AI có thể hỗ trợ con người trong nhiều lĩnh vực, nhưng vẫn còn nhiều điều mà con người làm tốt hơn AI."
"Bạn có thể giúp tôi giải quyết bài tập không?","Tất nhiên, nếu bạn cung cấp bài tập, tôi sẽ giúp bạn giải quyết."
"Bạn thích đọc sách gì?","Tôi không có khả năng đọc sách như con người, nhưng tôi biết nhiều cuốn sách hay!"

"thanks,cảm ơn, cảm ơn bạn","Không có gì, tôi luôn sẵn sàng giúp đỡ bạn!"
"thank you, cảm ơn nhiều","Rất vui được giúp bạn!"
"thank you so much,cảm ơn rất nhiều","Bạn thật sự rất tử tế, tôi rất vui khi được giúp đỡ."
"thanks a lot,cảm ơn bạn rất nhiều","Tôi rất vui khi có thể hỗ trợ bạn!"
"thanks for your help,cảm ơn sự giúp đỡ của bạn","Rất vui được giúp bạn, nếu cần gì thêm, cứ nói nhé!"
"thank you for your time,cảm ơn bạn đã dành thời gian","Không có gì, tôi luôn ở đây để giúp đỡ bạn."
"thanks for everything,cảm ơn bạn vì tất cả","Rất vui khi được giúp đỡ bạn, nếu có gì khác, cứ gọi tôi!"
"thank you for your support,cảm ơn bạn đã hỗ trợ tôi","Tôi rất vui khi có thể đồng hành cùng bạn."
"thanks for your assistance,cảm ơn bạn đã hỗ trợ tôi","Bạn luôn rất lịch sự, tôi luôn sẵn sàng giúp đỡ!"
"thanks for being here,cảm ơn bạn đã ở đây","Không có gì đâu, tôi luôn ở đây khi bạn cần."
"thanks a ton,cảm ơn bạn rất nhiều","Bạn thật là người tuyệt vời, cảm ơn bạn!"
"thank you, it means a lot,cảm ơn bạn, điều này có ý nghĩa rất lớn với tôi","Tôi rất vui khi nghe điều đó, luôn sẵn sàng giúp đỡ bạn!"
"thanks for all the help,cảm ơn bạn vì tất cả sự giúp đỡ","Không có gì đâu, tôi rất vui khi có thể hỗ trợ bạn."
"thanks for the information,cảm ơn bạn đã cung cấp thông tin","Rất vui được chia sẻ thông tin với bạn!"
"thanks for the advice,cảm ơn bạn vì lời khuyên","Tôi rất vui khi lời khuyên của tôi có ích cho bạn!"
"thanks for your understanding,cảm ơn bạn đã thông cảm","Tôi rất trân trọng sự hiểu biết của bạn!"
"thank you for everything you've done,cảm ơn bạn vì tất cả những gì bạn đã làm","Tôi rất cảm kích sự giúp đỡ của bạn!"

"don't worry, đừng lo","Mọi chuyện sẽ ổn thôi, đừng quá lo lắng!"
"it's okay, không sao đâu","Không sao đâu, mọi thứ sẽ tốt thôi!"
"take it easy, bình tĩnh thôi","Hãy bình tĩnh, mọi thứ rồi sẽ qua mà!"
"everything will be fine,mọi chuyện sẽ ổn thôi","Hãy tin tưởng, mọi thứ sẽ sớm ổn thôi."
"you'll be fine, bạn sẽ ổn thôi","Đừng lo, bạn sẽ vượt qua được thôi!"
"stay positive,hãy giữ thái độ tích cực","Luôn nhìn nhận mọi chuyện theo hướng tích cực nhé!"
"it's not your fault, đó không phải lỗi của bạn","Mọi người đều mắc sai lầm, không sao đâu!"
"don't give up, đừng bỏ cuộc","Hãy cố gắng thêm chút nữa, bạn sẽ làm được!"
"keep going,cứ tiếp tục đi","Bạn đang làm tốt, đừng dừng lại!"
"you're doing great,bạn làm rất tốt đấy","Tiếp tục như vậy nhé, bạn đã làm tốt!"
"it's okay to make mistakes, phạm sai lầm là bình thường","Mọi người đều sai lầm, quan trọng là chúng ta học được từ đó."
"I'm sorry, tôi xin lỗi","Tôi xin lỗi nếu tôi đã làm bạn cảm thấy không thoải mái."
"i didn't mean to, tôi không có ý đó","Tôi thực sự không có ý làm bạn buồn, xin lỗi nhé!"
"sorry for the inconvenience, xin lỗi vì sự bất tiện","Tôi thật sự xin lỗi vì đã gây ra bất kỳ sự bất tiện nào."
"i apologize, tôi xin lỗi","Tôi thật sự xin lỗi về sự cố vừa rồi."
"my apologies, xin lỗi vì sự bất tiện","Hy vọng bạn thông cảm, tôi sẽ cố gắng cải thiện."
"please forgive me, làm ơn tha lỗi cho tôi","Tôi rất tiếc và hy vọng bạn có thể tha thứ cho tôi."
"i'm truly sorry, tôi thành thật xin lỗi","Tôi rất tiếc vì đã làm bạn phiền lòng."
"i'm sorry for what happened, tôi xin lỗi về những gì đã xảy ra","Tôi thực sự rất tiếc về sự việc này."
"i shouldn't have said that, tôi không nên nói như vậy","Xin lỗi nếu tôi đã làm bạn cảm thấy không vui."
"please accept my apology, xin bạn hãy chấp nhận lời xin lỗi của tôi","Tôi rất tiếc, hy vọng bạn có thể tha thứ."
